N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.5	INQ	3.8593	2.86361	0.0401562	0.160625	0.0033	0
5	0.5	INQ	3.93099	3.07482	0.031936	0.15968	0.00381	0
6	0.5	INQ	4.06467	3.20477	0.0264167	0.1585	0.00414167	0
7	0.5	INQ	4.05101	3.17021	0.0226061	0.158243	0.00397143	0
8	0.5	INQ	4.18515	3.32755	0.0198406	0.158725	0.00444375	0.000187519
9	0.5	INQ	4.14641	3.39879	0.0174469	0.157022	0.00432778	0.00010001
10	0.5	INQ	4.25147	3.5002	0.015775	0.15775	0.004715	0
11	0.5	INQ	4.23944	3.40274	0.0142066	0.156273	0.00460909	0.000109102
12	0.5	INQ	4.38399	3.56137	0.0130375	0.15645	0.005175	5.0005e-05
13	0.5	INQ	4.34376	3.54997	0.0121024	0.157331	0.00498077	0.000138475
14	0.5	INQ	4.36139	3.64564	0.0111714	0.1564	0.00521429	0.000278599
15	0.5	INQ	4.34987	3.62455	0.0104307	0.15646	0.00517	0.000340034
16	0.5	INQ	4.35397	3.5763	0.00980078	0.156812	0.005225	0.000150015
17	0.5	INQ	4.32987	3.54952	0.00922145	0.156765	0.00508235	0.000247084
18	0.5	INQ	4.36769	3.64164	0.00873488	0.157228	0.00508611	0.000233357
19	0.5	INQ	4.41191	3.72357	0.0082072	0.155937	0.00552895	0.000363194
20	0.5	INQ	4.37883	3.63258	0.00782875	0.156575	0.005125	0.00030003
21	0.5	INQ	4.38406	3.67215	0.00744943	0.156438	0.0052619	0.000114297
22	0.5	INQ	4.39367	3.66024	0.00709153	0.156014	0.00520909	0.000395494
23	0.5	INQ	4.38532	3.64837	0.00678582	0.156074	0.00526739	0.00030003
24	0.5	INQ	4.4574	3.77838	0.00646285	0.155108	0.00546458	0.000225023
25	0.5	INQ	4.54621	3.89011	0.00621328	0.155332	0.005884	0.000456046
26	0.5	INQ	4.49925	3.82358	0.00597766	0.155419	0.00563654	0.000450045
27	0.5	INQ	4.47952	3.71132	0.00577106	0.155819	0.0056463	0.000344479
28	0.5	INQ	4.41914	3.75053	0.00554554	0.155275	0.00545357	0.000514337
29	0.5	INQ	4.43929	3.76709	0.00535291	0.155234	0.0054069	0.000393143
30	0.5	INQ	4.44973	3.73642	0.00519567	0.15587	0.005495	0.000320032
31	0.5	INQ	4.47786	3.8273	0.00500364	0.155113	0.00562581	0.000532311
32	0.5	INQ	4.51903	3.849	0.00484316	0.154981	0.00588125	0.000365662
33	0.5	INQ	4.45115	3.73283	0.00470854	0.155382	0.00541515	0.000545509
34	0.5	INQ	4.50503	3.80826	0.00457197	0.155447	0.00573382	0.000397099
35	0.5	INQ	4.49829	3.76409	0.00444539	0.155589	0.00556714	0.000282885
36	0.5	INQ	4.42777	3.74088	0.00432238	0.155606	0.00553194	0.000391706
37	0.5	INQ	4.4391	3.81644	0.00419481	0.155208	0.00546216	0.000624387
38	0.5	INQ	4.52318	3.81472	0.0040813	0.155089	0.00581447	0.000292134
39	0.5	INQ	4.47562	3.74711	0.00398632	0.155467	0.00555256	0.00040004
40	0.5	INQ	4.48129	3.79153	0.00387138	0.154855	0.0056375	0.000337534
41	0.5	INQ	4.5049	3.87606	0.00378632	0.155239	0.00582561	0.0005342
42	0.5	INQ	4.524	3.8783	0.00369609	0.155236	0.0057119	0.000578629
43	0.5	INQ	4.50544	3.84826	0.00360676	0.155091	0.0057314	0.000509353
44	0.5	INQ	4.50104	3.80923	0.00352397	0.155055	0.00564545	0.000368219
45	0.5	INQ	4.51825	3.82834	0.0034436	0.154962	0.00569444	0.000540054
46	0.5	INQ	4.59011	3.94538	0.00337207	0.155115	0.00611739	0.000567448
47	0.5	INQ	4.52778	3.88852	0.00330593	0.155379	0.00588404	0.000446853
48	0.5	INQ	4.53697	3.92841	0.00322266	0.154688	0.00588542	0.000581308
49	0.5	INQ	4.48808	3.75299	0.00316839	0.155251	0.00563265	0.000385753
50	0.5	INQ	4.53551	3.90496	0.00309112	0.154556	0.005946	0.000474047
51	0.5	INQ	4.49311	3.88403	0.00303429	0.154749	0.00572549	0.000611826
52	0.5	INQ	4.52374	3.80437	0.00297622	0.154763	0.00572019	0.000317339
53	0.5	INQ	4.55583	3.85945	0.00293371	0.155487	0.00574717	0.00053779
54	0.5	INQ	4.51529	3.8666	0.00287239	0.155109	0.00578796	0.000372259
55	0.5	INQ	4.51349	3.88568	0.00281511	0.154831	0.00577273	0.000474593
56	0.5	INQ	4.56267	3.92939	0.00277146	0.155202	0.00601696	0.000589345
57	0.5	INQ	4.54267	3.896	0.00272527	0.15534	0.00584737	0.000557951
58	0.5	INQ	4.53538	3.83424	0.00267717	0.155276	0.00576724	0.000419007
59	0.5	INQ	4.5425	3.93755	0.00263275	0.155332	0.00591186	0.000691595
60	0.5	INQ	4.56193	3.89949	0.00257875	0.154725	0.0058925	0.000605061
61	0.5	INQ	4.5221	3.86178	0.00254606	0.15531	0.00581475	0.000482015
62	0.5	INQ	4.52566	3.87994	0.00249675	0.154798	0.00585081	0.000595221
63	0.5	INQ	4.52245	3.83505	0.00246092	0.155038	0.00561587	0.0005191
64	0.5	INQ	4.51519	3.84124	0.00242776	0.155377	0.00576016	0.00060006
